issue_id,commit_id,method,score
MNG-1090,f685d8605d2680e70b1ff2895947d2d11787e3c9,default,1
MNG-1098,1e8917387a8e136e31977461b96d300645695ad9,default,1
MNG-1150,62149297e49e559f46e81a2a3fa221f1bac8523b,default,1
MNG-1183,355edf88bc5e30963416107fd7a6a2951963e379,default,1
MNG-1198,7f736625f55c5f815843c26d428653599540f9f5,default,1
MNG-1217,2ed5c152fb83858614dd21984c8d8b92d7053819,default,1
MNG-122,b4cdb4a785426181227be37a02e43e7d33a1bfd0,default,1
MNG-122,a9f4d9f1e588bd5e89c4af908d1dfc8b6e81e741,default,1
MNG-122,11df1683377b04ae1e311a676302c1bab8823949,default,1
MNG-122,1499b5dcd382c1f51164fc75414b6da0a9afbe36,default,1
MNG-122,1f638e69450b35c9dca621a71c9150b04979d439,default,1
MNG-122,1f97932050aa7c3872fb243c9154cdc512696fec,default,1
MNG-122,562facf5d24bf2ec3e6bbd9567c99c27356907f8,default,1
MNG-122,04e02209b1bea17bc945cbfd3fe1a1eadf504a5f,default,1
MNG-122,7129bb1b9e62ddcb20ddc6234678440f910de224,default,1
MNG-122,190199258689fd7447f55761bd2938022fb647cf,default,1
MNG-122,5de6418c69b1c98cfdb75f687b39159ec259c436,default,1
MNG-1265,125c19fb3a9879caec475fc485198751066f0a3e,default,1
MNG-1271,51650e5f15a95cdfa63d607adc4c2afc261c1ed4,default,1
MNG-1276,b8b8e02e2bc123eb129493600af03a1ba8653a9f,default,1
MNG-1286,259a63ba90e08c63787bf44b075ed96476721898,default,1
MNG-1287,deed9e4cbe4c933432a2ae1e75902daaef7e7c0f,default,1
MNG-1352,eeb14425c619acd6b9bdb234e6c48ea43d419005,default,1
MNG-1361,34d4cc14fcca6a4d8e75d2e4499b78a942540446,default,1
MNG-1404,524ae18b88970b5866a8b3a2c07747e3a4fc024d,default,1
MNG-145,7363dbc843b5eb171506a497dc5adfa86abf0ada,default,1
MNG-145,678919ad4098fc831f86b873fe0e89790325a2c5,default,1
MNG-1493,04ad40121c2a99662958a704a28f0c09d46bbc10,default,1
MNG-1550,4097d7ae0f25be1c07bc86be100cc4789fa738d2,default,1
MNG-1689,ae33045c9645a6e5f679a03a2ed3502a68ee50ba,default,1
MNG-1701,fbaa48e65869b09b3c217b194d7ca3e5275e6145,default,1
MNG-172,d2e1f3c97556afa42972a9ef20d336fccaed4ad5,default,1
MNG-178,2ebe7275bf7ee5f5ad2e38a24212296368c75fc2,default,1
MNG-1788,65acc949260b606248c47cc23726e69b1ecb5be4,default,1
MNG-187,88b5c0ee6648c6f1bbdf5e9e3420c3979f39a001,default,1
MNG-1903,88f3b941d4c2619bb12e858552ff8484f958dc2f,default,1
MNG-1907,be1b1f2d132ae67d69db52e040608b5a3e6d13c2,default,1
MNG-192,05affa0a6521cde8758696db4938b68349cb9837,default,1
MNG-1957,15ef04371b79698ee12d5fa637512b45e0de66b8,default,1
MNG-2030,c4588487336715e2156f2ac2cccf737c39b97297,default,1
MNG-205,ba992be685468dc5b36f9578005f13e6106fbe32,default,1
MNG-208,3e264f80ba8757c3df16ecf1ba6c79c2e1c86df5,default,1
MNG-2096,f380c0ef755ccff9fb94efb9232a80fcc688eaa7,default,1
MNG-2187,9020e459a19b9ba7fbb3704c14aa38d6438de954,default,1
MNG-221,d8d2e34dca66e4b43a40c370574141c139a34a55,default,1
MNG-2229,a5a6226e537e0356dce4fa60714fec32d7b2c171,default,1
MNG-2233,ee870d6112cb7a668787262edcd9fa3e74072589,default,1
MNG-230,5404045229b9326deb6f0d29f65f410794521920,default,1
