issue_id,issue_id,method,score
MNG-2254,MNG-2255,default,1
MNG-4498,MNG-4309,default,1
MNG-6198,MNG-5889,default,1
MNG-1355,MNG-1644,default,1
MNG-5590,MNG-5608,default,1
MNG-3461,MNG-3974,default,1
MNG-2290,MNG-3134,default,1
MNG-3503,MNG-3668,default,1
MNG-5011,MNG-4551,default,1
MNG-4383,MNG-4405,default,1
MNG-267,MNG-122,default,1
MNG-249,MNG-2921,default,1
MNG-249,MNG-1088,default,1
MNG-249,MNG-3043,default,1
MNG-2892,MNG-2900,default,1
MNG-2892,MNG-3819,default,1
MNG-2892,MNG-4276,default,1
MNG-2362,MNG-2255,default,1
MNG-5771,MNG-5779,default,1
MNG-2769,MNG-2255,default,1
MNG-5612,MNG-5608,default,1
MNG-3010,MNG-3526,default,1
MNG-2054,MNG-1701,default,1
MNG-2391,MNG-4383,default,1
MNG-2391,MNG-4717,default,1
MNG-2391,MNG-3991,default,1
MNG-4717,MNG-4732,default,1
MNG-732,MNG-2591,default,1
MNG-3424,MNG-3805,default,1
MNG-6228,MNG-5935,default,1
MNG-3748,MNG-4390,default,1
MNG-4418,MNG-4891,default,1
MNG-4003,MNG-4005,default,1
MNG-5958,MNG-5805,default,1
MNG-4041,MNG-4194,default,1
MNG-3545,MNG-3571,default,1
MNG-2823,MNG-2648,default,1
MNG-3600,MNG-3622,default,1
MNG-614,MNG-613,default,1
MNG-598,MNG-576,default,1
MNG-2741,MNG-3477,default,1
MNG-5559,MNG-5724,default,1
MNG-5312,MNG-6030,default,1
MNG-2926,MNG-980,default,1
MNG-2020,MNG-1686,default,1
MNG-5176,MNG-5648,default,1
MNG-5175,MNG-5509,default,1
MNG-3794,MNG-3477,default,1
MNG-2678,MNG-2201,default,1
MNG-3907,MNG-3224,default,1
MNG-2593,MNG-2255,default,1
MNG-309,MNG-252,default,1
MNG-277,MNG-122,default,1
MNG-5858,MNG-5889,default,1
MNG-5786,MNG-5767,default,1
MNG-2577,MNG-4625,default,1
MNG-1127,MNG-230,default,1
MNG-3395,MNG-3394,default,1
MNG-5647,MNG-5452,default,1
MNG-6223,MNG-5889,default,1
MNG-6223,MNG-5338,default,1
MNG-3364,MNG-3365,default,1
MNG-5181,MNG-5289,default,1
MNG-2636,MNG-3907,default,1
MNG-3203,MNG-3401,default,1
MNG-3203,MNG-4919,default,1
MNG-2187,MNG-2254,default,1
MNG-1957,MNG-4512,default,1
MNG-3046,MNG-3047,default,1
MNG-5935,MNG-6229,default,1
MNG-5748,MNG-5575,default,1
MNG-5747,MNG-5181,default,1
MNG-5745,MNG-3891,default,1
MNG-5610,MNG-5609,default,1
MNG-5608,MNG-2363,default,1
MNG-4747,MNG-4787,default,1
MNG-674,MNG-220,default,1
MNG-4254,MNG-4228,default,1
MNG-4254,MNG-4235,default,1
MNG-4254,MNG-4236,default,1
MNG-3957,MNG-1957,default,1
MNG-6057,MNG-5576,default,1
MNG-4732,MNG-4915,default,1
MNG-3991,MNG-4005,default,1
MNG-1577,MNG-2892,default,1
MNG-3268,MNG-3545,default,1
